player_id,squad_id,team_id,season_id,jersey_number,position_id,has_values,name,common_name,firstname,lastname,display_name,height,weight,date_of_birth,gender,nationality_id,country_id,city_id,detailed_position_id,type_id,image_path
21394947,483841233,9,21646,19,26,True,Julián Álvarez,J. Álvarez,Julián,Álvarez,Julián Alvarez,170.0,68.0,2000-01-31,male,44,44,,151.0,27,https://cdn.sportmonks.com/images/soccer/players/3/21394947.png
37459073,483841228,9,21646,82,25,True,Rico Lewis,R. Lewis,Rico,Lewis,Rico Lewis,170.0,,2004-11-21,male,462,462,13589.0,,26,https://cdn.sportmonks.com/images/soccer/players/1/37459073.png
198062,483841227,9,21646,25,25,True,Manuel Obafemi Akanji,M. Akanji,Manuel Obafemi,Akanji,Manuel Akanji,188.0,91.0,1995-07-19,male,62,62,98691.0,,25,https://cdn.sportmonks.com/images/soccer/players/14/198062.png
1116,483841223,9,21646,10,26,True,Jack Grealish,J. Grealish,Jack,Grealish,Jack Grealish,180.0,68.0,1995-09-10,male,462,462,9576.0,,26,https://cdn.sportmonks.com/images/soccer/players/28/1116.png
162536,483841213,9,21646,3,25,True,Rúben Santos Gato Alves Dias,R. Santos Gato Alves Dias,Rúben,Santos Gato Alves Dias,Rúben Dias,187.0,70.0,1997-05-14,male,20,20,2346.0,,25,https://cdn.sportmonks.com/images/soccer/players/8/162536.png
37286732,602529266,9,21646,52,26,True,Oscar Bobb,O. Bobb,Oscar,Bobb,Oscar Bobb,175.0,,2003-07-12,male,1578,1578,65809.0,,26,https://cdn.sportmonks.com/images/soccer/players/12/37286732.png
37612626,951202382,9,21646,56,26,True,Jacob Wright,J. Wright,Jacob,Wright,Jacob Wright,178.0,,2005-09-21,male,462,462,53964.0,149.0,26,https://cdn.sportmonks.com/images/soccer/players/18/37612626.png
21781428,625795624,9,21646,27,26,True,Matheus Luiz Nunes,M. Nunes,Matheus Luiz,Nunes,Matheus Nunes,183.0,78.0,1998-08-27,male,20,5,74558.0,,26,https://cdn.sportmonks.com/images/soccer/players/20/21781428.png
982,483841234,9,21646,5,26,True,John Stones,J. Stones,John,Stones,John Stones,188.0,70.0,1994-05-28,male,462,462,6773.0,,25,https://cdn.sportmonks.com/images/soccer/players/22/982.png
159142,483841214,9,21646,31,24,True,Ederson Santana de Moraes,E. Santana de Moraes,Ederson,Santana de Moraes,Ederson,188.0,86.0,1993-08-17,male,5,5,80280.0,24.0,24,https://cdn.sportmonks.com/images/soccer/players/6/159142.png
1869,483841212,9,21646,6,25,True,Nathan Aké,N. Aké,Nathan,Aké,Nathan Aké,180.0,75.0,1995-02-18,male,38,38,89771.0,,25,https://cdn.sportmonks.com/images/soccer/players/13/1869.png
186910,483841222,9,21646,16,26,True,Rodrigo Hernández Cascante,Rodri,Rodrigo,Hernández Cascante,Rodri,191.0,82.0,1996-06-22,male,32,32,53253.0,,26,https://cdn.sportmonks.com/images/soccer/players/30/186910.png
911,483841219,9,21646,2,25,True,Kyle Walker,K. Walker,Kyle,Walker,Kyle Walker,183.0,70.0,1990-05-28,male,462,462,82625.0,154.0,25,https://cdn.sportmonks.com/images/soccer/players/15/911.png
