performance_id,match_id,match_date,competition,opponent,home_away,match_result,player_name,team_name,started,minutes_played,position,formation_position,substituted_in,substituted_out,goals,assists,shots_total,shots_on_target,passes_total,passes_completed,pass_accuracy,tackles_total,tackles_won,tackle_success_rate,interceptions,clearances,blocks,yellow_cards,red_cards,fouls_committed,fouls_suffered,touches,rating,distance_covered,goals_per_90,assists_per_90
11,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Aurélien Tchouaméni,Real Madrid,1,86,Unknown,Unknown,0,0,0,0,1,0,75,65,85.0,5,3.5,70.0,2,0,3,0,0,0,3,54,7.72,10.5,0.0,0.0
12,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Rodrygo,Real Madrid,1,44,Unknown,Unknown,0,0,0,0,7,4,47,37,85.0,2,1.4,70.0,3,1,3,0,0,1,0,92,8.33,10.5,0.0,0.0
13,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Nacho,Real Madrid,1,83,Unknown,Unknown,0,0,0,0,0,0,109,99,85.0,5,3.5,70.0,2,0,3,0,0,2,1,87,7.38,10.5,0.0,0.0
14,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Jesús Vallejo,Real Madrid,1,86,Unknown,Unknown,0,0,0,0,1,1,72,62,85.0,3,2.0999999999999996,70.0,4,4,1,0,0,3,0,38,7.35,10.5,0.0,0.0
15,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Ferland Mendy,Real Madrid,1,75,Unknown,Unknown,0,0,0,0,2,2,109,99,85.0,2,1.4,70.0,3,6,1,0,0,3,0,90,6.59,10.5,0.0,0.0
16,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Kepa Arrizabalaga,Real Madrid,1,80,Unknown,Unknown,0,0,0,0,0,0,34,24,85.0,1,0.7,70.0,4,1,1,0,0,3,0,43,7.0,10.5,0.0,0.0
17,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Aurélien Tchouaméni,Real Madrid,1,86,Unknown,Unknown,0,0,0,0,2,2,89,79,85.0,1,0.7,70.0,0,1,2,0,0,2,1,66,6.6,10.5,0.0,0.0
18,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Jude Bellingham,Real Madrid,1,12,Unknown,Unknown,0,0,0,0,1,1,32,22,85.0,5,3.5,70.0,3,2,1,0,0,2,1,91,8.1,10.5,0.0,0.0
19,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Federico Valverde,Real Madrid,1,18,Unknown,Unknown,0,0,0,0,4,2,30,20,85.0,4,2.8,70.0,3,1,3,0,0,3,4,39,8.21,10.5,0.0,0.0
20,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Nacho,Real Madrid,1,68,Unknown,Unknown,0,0,0,0,0,0,78,68,85.0,2,1.4,70.0,4,2,3,0,0,1,0,120,6.61,10.5,0.0,0.0
21,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Mariano Díaz,Real Madrid,1,13,Unknown,Unknown,0,0,0,0,5,0,38,28,85.0,1,0.7,70.0,0,0,2,0,0,3,3,26,8.72,10.5,0.0,0.0
22,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Dani Ceballos,Real Madrid,1,76,Unknown,Unknown,0,0,0,0,0,0,87,77,85.0,6,4.199999999999999,70.0,2,0,3,0,0,1,1,77,8.01,10.5,0.0,0.0
23,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Thibaut Courtois,Real Madrid,1,88,Unknown,Unknown,0,0,0,0,0,0,30,20,85.0,0,0.0,70.0,0,2,1,0,0,3,2,72,7.82,10.5,0.0,0.0
24,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Eden Hazard,Real Madrid,1,86,Unknown,Unknown,0,0,0,0,7,2,74,64,85.0,0,0.0,70.0,2,2,1,0,0,3,4,104,8.47,10.5,0.0,0.0
25,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Andriy Lunin,Real Madrid,1,37,Unknown,Unknown,0,0,0,0,0,0,54,44,85.0,1,0.7,70.0,3,2,0,0,0,3,3,31,6.14,10.5,0.0,0.0
26,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Vinícius Jr.,Real Madrid,1,89,Unknown,Unknown,0,0,0,0,6,0,32,22,85.0,2,1.4,70.0,1,2,3,0,0,2,2,28,8.67,10.5,0.0,0.0
27,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Luka Modrić,Real Madrid,1,89,Unknown,Unknown,0,0,0,0,0,0,88,78,85.0,2,1.4,70.0,1,0,1,0,0,0,0,119,6.61,10.5,0.0,0.0
28,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Toni Kroos,Real Madrid,1,41,Unknown,Unknown,0,0,0,0,3,2,103,93,85.0,2,1.4,70.0,0,1,0,0,0,0,4,87,7.99,10.5,0.0,0.0
29,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Karim Benzema,Real Madrid,1,85,Unknown,Unknown,0,0,0,0,5,1,84,74,85.0,1,0.7,70.0,2,2,2,0,0,2,4,100,6.29,10.5,0.0,0.0
30,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Marco Asensio,Real Madrid,1,88,Unknown,Unknown,0,0,0,0,4,4,59,49,85.0,3,2.0999999999999996,70.0,3,0,1,0,0,2,3,110,8.93,10.5,0.0,0.0
31,2,2023-12-31,La Liga,Barcelona,Unknown,Unknown,Éder Militão,Real Madrid,1,47,Unknown,Unknown,0,0,0,0,2,0,40,30,85.0,3,2.0999999999999996,70.0,3,3,0,0,0,1,3,84,6.73,10.5,0.0,0.0
32,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Dani Carvajal,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,3,2,48,38,85.0,3,2.0999999999999996,70.0,0,1,3,0,0,0,3,57,6.05,10.5,0.0,0.0
33,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Marco Asensio,Real Madrid,1,84,Unknown,Unknown,0,0,0,0,4,1,76,66,85.0,2,1.4,70.0,0,0,2,0,0,0,1,33,7.81,10.5,0.0,0.0
34,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Andriy Lunin,Real Madrid,1,83,Unknown,Unknown,0,0,0,0,0,0,100,90,85.0,0,0.0,70.0,4,2,0,0,0,3,2,103,7.37,10.5,0.0,0.0
35,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Antonio Rüdiger,Real Madrid,1,78,Unknown,Unknown,0,0,0,0,1,1,46,36,85.0,5,3.5,70.0,0,1,3,0,0,3,0,65,7.45,10.5,0.0,0.0
36,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Jude Bellingham,Real Madrid,1,16,Unknown,Unknown,0,0,1,0,2,2,31,21,85.0,1,0.7,70.0,2,2,3,0,0,2,2,49,8.46,10.5,5.625,0.0
37,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Toni Kroos,Real Madrid,1,38,Unknown,Unknown,0,0,0,0,4,2,55,45,85.0,1,0.7,70.0,3,1,1,0,0,2,3,63,8.29,10.5,0.0,0.0
38,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Fran García,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,1,1,89,79,85.0,8,5.6,70.0,2,3,2,0,0,3,3,118,7.88,10.5,0.0,0.0
39,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Ferland Mendy,Real Madrid,1,77,Unknown,Unknown,0,0,0,0,1,1,78,68,85.0,2,1.4,70.0,2,0,1,0,0,1,3,38,7.91,10.5,0.0,0.0
40,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Mariano Díaz,Real Madrid,1,54,Unknown,Unknown,0,0,0,0,4,1,73,63,85.0,2,1.4,70.0,1,0,3,0,0,2,4,88,6.76,10.5,0.0,0.0
41,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Rodrygo,Real Madrid,1,78,Unknown,Unknown,0,0,0,0,6,1,54,44,85.0,1,0.7,70.0,0,2,0,0,0,1,3,89,6.63,10.5,0.0,0.0
42,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Vinícius Jr.,Real Madrid,1,82,Unknown,Unknown,0,0,1,0,2,2,54,44,85.0,0,0.0,70.0,2,2,0,0,0,2,4,112,6.68,10.5,1.0975609756097562,0.0
43,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Karim Benzema,Real Madrid,1,87,Unknown,Unknown,0,0,0,0,7,3,82,72,85.0,3,2.0999999999999996,70.0,4,1,3,0,0,1,2,72,7.28,10.5,0.0,0.0
44,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Federico Valverde,Real Madrid,1,13,Unknown,Unknown,0,0,0,0,2,1,47,37,85.0,5,3.5,70.0,1,0,3,0,0,0,0,24,8.42,10.5,0.0,0.0
45,3,2023-08-26,La Liga,Atlético Madrid,Unknown,Unknown,Dani Ceballos,Real Madrid,1,84,Unknown,Unknown,0,0,0,0,2,2,110,100,85.0,3,2.0999999999999996,70.0,0,2,3,0,0,2,3,86,7.09,10.5,0.0,0.0
46,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Toni Kroos,Real Madrid,1,35,Unknown,Unknown,0,0,0,0,0,0,77,67,85.0,2,1.4,70.0,0,2,3,0,0,1,4,45,7.74,10.5,0.0,0.0
47,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Luka Modrić,Real Madrid,1,73,Unknown,Unknown,0,0,0,0,0,0,93,83,85.0,2,1.4,70.0,4,1,0,0,0,2,3,47,7.9,10.5,0.0,0.0
48,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Jesús Vallejo,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,1,1,49,39,85.0,6,4.199999999999999,70.0,0,2,2,0,0,3,3,81,7.65,10.5,0.0,0.0
49,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Karim Benzema,Real Madrid,1,85,Unknown,Unknown,0,0,0,0,4,0,77,67,85.0,1,0.7,70.0,3,1,3,0,0,1,2,120,6.58,10.5,0.0,0.0
50,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Andriy Lunin,Real Madrid,1,89,Unknown,Unknown,0,0,0,0,0,0,34,24,85.0,1,0.7,70.0,0,0,2,0,0,1,4,73,6.46,10.5,0.0,0.0
51,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,David Alaba,Real Madrid,1,15,Unknown,Unknown,0,0,0,0,0,0,24,14,85.0,2,1.4,70.0,2,1,3,0,0,3,3,52,7.52,10.5,0.0,0.0
52,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Aurélien Tchouaméni,Real Madrid,1,87,Unknown,Unknown,0,0,0,1,4,3,93,83,85.0,2,1.4,70.0,4,0,3,0,0,3,3,41,6.81,10.5,0.0,1.0344827586206897
53,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Federico Valverde,Real Madrid,1,29,Unknown,Unknown,0,0,0,0,4,1,43,33,85.0,4,2.8,70.0,2,0,2,0,0,0,3,113,6.88,10.5,0.0,0.0
54,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Eduardo Camavinga,Real Madrid,1,31,Unknown,Unknown,0,0,0,0,3,1,110,100,85.0,1,0.7,70.0,3,0,0,0,0,3,1,107,7.09,10.5,0.0,0.0
55,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Dani Carvajal,Real Madrid,1,81,Unknown,Unknown,0,0,0,0,3,1,69,59,85.0,2,1.4,70.0,3,0,3,0,0,2,0,120,6.37,10.5,0.0,0.0
56,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Marco Asensio,Real Madrid,1,88,Unknown,Unknown,0,0,0,0,3,2,105,95,85.0,1,0.7,70.0,0,2,2,0,0,3,3,97,7.65,10.5,0.0,0.0
57,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Jude Bellingham,Real Madrid,1,85,Unknown,Unknown,0,0,0,0,5,2,42,32,85.0,1,0.7,70.0,3,1,0,0,0,0,4,65,7.73,10.5,0.0,0.0
58,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Vinícius Jr.,Real Madrid,1,90,Unknown,Unknown,0,0,1,0,7,0,30,20,85.0,3,2.0999999999999996,70.0,4,2,1,0,0,0,1,20,8.01,10.5,1.0,0.0
59,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Eden Hazard,Real Madrid,1,69,Unknown,Unknown,0,0,0,0,7,0,38,28,85.0,0,0.0,70.0,1,2,1,0,0,1,2,44,8.06,10.5,0.0,0.0
60,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Kepa Arrizabalaga,Real Madrid,1,30,Unknown,Unknown,0,0,0,1,0,0,41,31,85.0,1,0.7,70.0,3,1,0,0,0,0,2,84,8.31,10.5,0.0,3.0
61,4,2024-01-06,La Liga,Atlético Madrid,Unknown,Unknown,Rodrygo,Real Madrid,1,85,Unknown,Unknown,0,0,0,0,1,1,30,20,85.0,0,0.0,70.0,1,0,3,0,0,3,1,21,8.79,10.5,0.0,0.0
62,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Karim Benzema,Real Madrid,1,20,Unknown,Unknown,0,0,0,0,1,1,35,25,85.0,1,0.7,70.0,3,0,0,0,0,1,3,101,8.78,10.5,0.0,0.0
63,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Nacho,Real Madrid,1,82,Unknown,Unknown,0,0,0,0,2,1,92,82,85.0,3,2.0999999999999996,70.0,3,5,2,0,0,1,4,100,6.29,10.5,0.0,0.0
64,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Thibaut Courtois,Real Madrid,1,34,Unknown,Unknown,0,0,0,0,0,0,67,57,85.0,2,1.4,70.0,4,0,1,0,0,2,1,32,7.58,10.5,0.0,0.0
65,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Fran García,Real Madrid,1,51,Unknown,Unknown,0,0,0,0,1,0,64,54,85.0,5,3.5,70.0,1,3,3,0,0,0,1,103,6.03,10.5,0.0,0.0
66,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Marco Asensio,Real Madrid,1,80,Unknown,Unknown,0,0,1,0,2,2,92,82,85.0,0,0.0,70.0,4,1,0,0,0,1,1,25,7.51,10.5,1.125,0.0
67,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Toni Kroos,Real Madrid,1,88,Unknown,Unknown,0,0,1,0,3,2,46,36,85.0,4,2.8,70.0,3,0,0,0,0,3,2,21,7.21,10.5,1.0227272727272727,0.0
68,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Eden Hazard,Real Madrid,1,13,Unknown,Unknown,0,0,1,0,2,2,39,29,85.0,2,1.4,70.0,1,2,1,0,0,3,3,82,8.49,10.5,6.923076923076923,0.0
69,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Rodrygo,Real Madrid,1,67,Unknown,Unknown,0,0,0,0,6,2,47,37,85.0,0,0.0,70.0,4,2,3,0,0,0,3,54,8.83,10.5,0.0,0.0
70,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Aurélien Tchouaméni,Real Madrid,1,37,Unknown,Unknown,0,0,0,0,0,0,110,100,85.0,4,2.8,70.0,4,2,1,0,0,0,2,65,6.77,10.5,0.0,0.0
71,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Éder Militão,Real Madrid,1,81,Unknown,Unknown,0,0,0,0,2,2,101,91,85.0,5,3.5,70.0,1,5,3,0,0,1,2,102,6.01,10.5,0.0,0.0
72,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Dani Ceballos,Real Madrid,1,75,Unknown,Unknown,0,0,0,1,5,1,32,22,85.0,5,3.5,70.0,2,2,2,0,0,0,4,60,7.35,10.5,0.0,1.2
73,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Andriy Lunin,Real Madrid,1,87,Unknown,Unknown,0,0,0,0,0,0,68,58,85.0,0,0.0,70.0,1,0,2,0,0,3,3,69,7.38,10.5,0.0,0.0
74,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Antonio Rüdiger,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,1,1,96,86,85.0,5,3.5,70.0,0,0,1,0,0,2,3,52,7.77,10.5,0.0,0.0
75,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Jude Bellingham,Real Madrid,1,75,Unknown,Unknown,0,0,0,0,5,1,37,27,85.0,5,3.5,70.0,1,1,2,0,0,2,4,63,6.45,10.5,0.0,0.0
76,5,2023-09-02,La Liga,Athletic Bilbao,Unknown,Unknown,Ferland Mendy,Real Madrid,1,66,Unknown,Unknown,0,0,0,0,0,0,63,53,85.0,2,1.4,70.0,1,6,0,0,0,3,4,109,7.79,10.5,0.0,0.0
77,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Thibaut Courtois,Real Madrid,1,90,Unknown,Unknown,0,0,0,0,0,0,88,78,85.0,1,0.7,70.0,4,1,1,0,0,2,3,97,6.55,10.5,0.0,0.0
78,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Dani Ceballos,Real Madrid,1,80,Unknown,Unknown,0,0,0,0,1,0,90,80,85.0,6,4.199999999999999,70.0,4,2,2,0,0,0,3,50,6.06,10.5,0.0,0.0
79,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Antonio Rüdiger,Real Madrid,1,76,Unknown,Unknown,0,0,0,0,2,1,45,35,85.0,2,1.4,70.0,2,0,2,0,0,0,4,52,7.62,10.5,0.0,0.0
80,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,David Alaba,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,1,0,44,34,85.0,8,5.6,70.0,1,3,3,0,0,3,3,118,6.66,10.5,0.0,0.0
81,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Éder Militão,Real Madrid,1,34,Unknown,Unknown,0,0,0,0,3,2,43,33,85.0,3,2.0999999999999996,70.0,2,5,2,0,0,2,3,65,7.28,10.5,0.0,0.0
82,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Marco Asensio,Real Madrid,1,77,Unknown,Unknown,0,0,0,0,4,4,31,21,85.0,0,0.0,70.0,1,2,1,0,0,3,2,75,8.74,10.5,0.0,0.0
83,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Toni Kroos,Real Madrid,1,45,Unknown,Unknown,0,0,0,0,3,3,105,95,85.0,2,1.4,70.0,4,1,0,0,0,0,0,42,7.78,10.5,0.0,0.0
84,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Luka Modrić,Real Madrid,1,12,Unknown,Unknown,0,0,0,0,2,0,27,17,85.0,6,4.199999999999999,70.0,3,1,1,0,0,1,1,41,8.02,10.5,0.0,0.0
85,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Fran García,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,3,1,41,31,85.0,3,2.0999999999999996,70.0,3,1,3,0,0,2,4,39,7.61,10.5,0.0,0.0
86,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Eden Hazard,Real Madrid,1,56,Unknown,Unknown,0,0,0,0,5,2,73,63,85.0,0,0.0,70.0,1,0,1,0,0,3,4,118,7.56,10.5,0.0,0.0
87,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Vinícius Jr.,Real Madrid,1,49,Unknown,Unknown,0,0,0,0,1,1,47,37,85.0,1,0.7,70.0,2,2,2,0,0,0,4,102,6.83,10.5,0.0,0.0
88,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Jude Bellingham,Real Madrid,1,80,Unknown,Unknown,0,0,0,0,3,1,30,20,85.0,4,2.8,70.0,3,1,3,0,0,0,3,40,6.83,10.5,0.0,0.0
89,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Andriy Lunin,Real Madrid,1,68,Unknown,Unknown,0,0,0,0,0,0,96,86,85.0,1,0.7,70.0,1,1,2,0,0,1,4,54,7.4,10.5,0.0,0.0
90,6,2024-01-16,La Liga,Athletic Bilbao,Unknown,Unknown,Ferland Mendy,Real Madrid,1,84,Unknown,Unknown,0,0,0,0,1,1,47,37,85.0,6,4.199999999999999,70.0,1,2,0,0,0,3,1,45,7.08,10.5,0.0,0.0
91,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Andriy Lunin,Real Madrid,1,77,Unknown,Unknown,0,0,0,0,0,0,63,53,85.0,0,0.0,70.0,4,1,3,0,0,0,1,107,7.34,10.5,0.0,0.0
92,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Éder Militão,Real Madrid,1,12,Unknown,Unknown,0,0,0,0,3,2,37,27,85.0,8,5.6,70.0,0,1,2,0,0,3,4,36,6.37,10.5,0.0,0.0
93,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Kepa Arrizabalaga,Real Madrid,1,80,Unknown,Unknown,0,0,0,0,0,0,63,53,85.0,1,0.7,70.0,4,1,2,0,0,3,3,32,7.23,10.5,0.0,0.0
94,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Luka Modrić,Real Madrid,1,60,Unknown,Unknown,0,0,0,0,0,0,41,31,85.0,1,0.7,70.0,4,2,3,0,0,2,0,114,6.75,10.5,0.0,0.0
95,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Rodrygo,Real Madrid,1,61,Unknown,Unknown,0,0,1,0,5,1,71,61,85.0,3,2.0999999999999996,70.0,1,1,1,0,0,2,1,21,7.82,10.5,1.4754098360655739,0.0
96,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Jude Bellingham,Real Madrid,1,82,Unknown,Unknown,0,0,0,0,1,1,37,27,85.0,3,2.0999999999999996,70.0,4,2,3,0,0,0,3,116,8.18,10.5,0.0,0.0
97,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Vinícius Jr.,Real Madrid,1,76,Unknown,Unknown,0,0,1,0,2,2,79,69,85.0,2,1.4,70.0,1,0,3,0,0,0,2,57,7.09,10.5,1.1842105263157894,0.0
98,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Eden Hazard,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,3,2,61,51,85.0,1,0.7,70.0,2,0,0,0,0,2,0,116,8.32,10.5,0.0,0.0
99,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Ferland Mendy,Real Madrid,1,59,Unknown,Unknown,0,0,0,0,0,0,57,47,85.0,7,4.8999999999999995,70.0,4,0,3,0,0,3,2,104,6.41,10.5,0.0,0.0
100,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Antonio Rüdiger,Real Madrid,1,28,Unknown,Unknown,0,0,0,0,3,2,28,18,85.0,7,4.8999999999999995,70.0,2,0,1,0,0,0,3,56,7.28,10.5,0.0,0.0
101,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Federico Valverde,Real Madrid,1,86,Unknown,Unknown,0,0,0,0,4,1,67,57,85.0,4,2.8,70.0,0,2,1,0,0,0,3,101,6.74,10.5,0.0,0.0
102,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,David Alaba,Real Madrid,1,81,Unknown,Unknown,0,0,0,0,1,1,65,55,85.0,2,1.4,70.0,2,0,3,0,0,3,0,99,6.41,10.5,0.0,0.0
103,7,2023-09-10,La Liga,Real Sociedad,Unknown,Unknown,Jesús Vallejo,Real Madrid,1,90,Unknown,Unknown,0,0,0,1,1,1,105,95,85.0,2,1.4,70.0,0,0,2,0,0,0,2,93,7.74,10.5,0.0,1.0
104,8,2024-01-23,La Liga,Real Sociedad,Unknown,Unknown,Luka Modrić,Real Madrid,1,82,Unknown,Unknown,0,0,0,0,2,2,76,66,85.0,5,3.5,70.0,0,1,3,0,0,2,4,71,6.42,10.5,0.0,0.0
105,8,2024-01-23,La Liga,Real Sociedad,Unknown,Unknown,Thibaut Courtois,Real Madrid,1,88,Unknown,Unknown,0,0,0,0,0,0,46,36,85.0,2,1.4,70.0,1,0,2,0,0,3,4,56,7.24,10.5,0.0,0.0
106,8,2024-01-23,La Liga,Real Sociedad,Unknown,Unknown,Toni Kroos,Real Madrid,1,76,Unknown,Unknown,0,0,0,0,1,1,108,98,85.0,1,0.7,70.0,1,1,0,0,0,2,1,89,7.89,10.5,0.0,0.0
107,8,2024-01-23,La Liga,Real Sociedad,Unknown,Unknown,Rodrygo,Real Madrid,1,60,Unknown,Unknown,0,0,0,0,7,1,61,51,85.0,3,2.0999999999999996,70.0,4,1,2,0,0,1,1,51,7.45,10.5,0.0,0.0
