Date,Competition,Opponent,Player,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Season,Position_Group,Take-Ons Succ%,Performance_Score
2023-09-02,La Liga,Getafe,Brahim Díaz,MAR,RM,24,14,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,1,0,8,8,100.0,2,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100.0,112,40,4,4,100.0,3,3,100.0,0,0,0.0,0,0.1,0.3,1,0,2,0,2,2023-24,Midfield,50.0,26.35714285714286
2023-09-02,La Liga,Getafe,Fran Garcia,ESP,LB,24,45,0,0,0,0,0,0,0,0,39,0,0,1,0.0,0.0,0.6,3,0,32,36,88.9,2,30,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,32,36,88.9,456,109,19,20,95.0,11,12,91.7,2,2,100.0,0,0.6,0.4,2,1,1,1,2,2023-24,Defense,100.0,17.335
2023-09-02,La Liga,Getafe,Nacho,ESP,CB,33,45,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.0,0,0,42,48,87.5,5,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,42,48,87.5,675,301,20,23,87.0,21,23,91.3,1,2,50.0,0,0.0,0.0,0,2,0,0,5,2023-24,Defense,0.0,18.458333333333332
2023-09-02,La Liga,Getafe,David Alaba,AUT,"LB,CB",31,90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.1,2,0,46,56,82.1,6,48,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,4,1,0,46,56,82.1,747,296,27,28,96.4,15,21,71.4,3,5,60.0,0,0.1,0.2,1,6,1,0,6,2023-24,,0.0,0.0
2023-09-02,La Liga,Getafe,Antonio Rüdiger,GER,CB,30,90,0,0,0,0,1,0,1,0,94,1,0,0,0.0,0.0,0.0,2,0,76,86,88.4,9,66,5,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,3,0,76,86,88.4,1406,515,35,37,94.6,35,38,92.1,6,9,66.7,0,0.0,0.1,0,8,0,0,9,2023-24,Defense,0.0,14.537777777777777
2023-09-02,La Liga,Getafe,Dani Carvajal,ESP,RB,31,75,0,0,0,0,1,0,0,0,80,2,0,0,0.0,0.0,0.0,0,0,61,75,81.3,6,58,2,1,0,2,1,1,1,0,1,1,0,0,0,0,0,2,0,0,61,75,81.3,814,127,41,48,85.4,16,17,94.1,2,3,66.7,0,0.0,0.0,0,5,2,0,6,2023-24,Defense,0.0,12.861666666666665
2023-09-02,La Liga,Getafe,Lucas Vázquez,ESP,RB,32,15,0,0,0,0,1,1,0,0,21,2,0,0,0.0,0.0,0.0,2,1,14,16,87.5,1,16,1,2,2,2,1,2,0,0,1,1,0,0,0,0,0,2,1,0,14,16,87.5,221,56,8,8,100.0,4,5,80.0,2,2,100.0,0,0.0,0.2,0,0,1,0,1,2023-24,Defense,100.0,18.458333333333336
2023-09-02,La Liga,Getafe,Kepa Arrizabalaga,ESP,GK,28,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,31,77.4,0,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,24,31,77.4,560,342,5,6,83.3,13,13,100.0,6,12,50.0,0,0.0,0.0,0,0,0,0,0,2023-24,Goalkeeper,0.0,66.44
2023-09-17,La Liga,Real Sociedad,Rodrygo,BRA,FW,22,86,0,0,0,0,4,2,0,0,45,1,0,0,0.6,0.6,0.1,2,1,25,31,80.6,2,36,8,5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,25,31,80.6,302,41,14,15,93.3,8,10,80.0,0,0,0.0,0,0.1,0.1,1,2,1,0,2,2023-24,Forward,0.0,1.9767441860465116
2023-09-17,La Liga,Real Sociedad,Brahim Díaz,MAR,FW,24,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.2,1,0,1,1,100.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,23,8,0,0,,1,1,100.0,0,0,0.0,0,0.2,0.2,1,0,0,0,0,2023-24,Forward,0.0,0.0
