match_id,season,match_date,competition,matchday,home_away,opponent,manchester_city_score,opponent_score,result,possession_percentage,shots_total,shots_on_target,shots_off_target,corners,fouls_committed,fouls_suffered,yellow_cards,red_cards,passes_total,passes_completed,pass_accuracy,tackles_total,tackles_won,interceptions,clearances,blocks,attendance,venue,referee,goal_difference,points
20,2023-24,2024-03-02,La Liga,29,Away,Osasuna,0,2,Loss,59,10,8,2,3,9,10,2,1,667,580,87,24,15,12,9,3,35706,Osasuna Stadium,Referee 34,-2,0
21,2023-24,2023-10-29,La Liga,11,Home,Las Palmas,3,1,Win,56,12,6,6,10,16,13,1,0,685,595,87,22,14,10,18,4,70693,Santiago Bernabéu,Referee 39,2,3
22,2023-24,2024-03-09,La Liga,30,Away,Las Palmas,3,2,Win,69,13,7,6,11,16,16,0,0,476,390,82,22,14,5,8,8,75792,Las Palmas Stadium,Referee 35,1,3
23,2023-24,2023-11-04,La Liga,12,Home,Girona,3,0,Win,65,19,3,16,9,14,15,1,0,612,514,84,18,11,11,20,6,75493,Santiago Bernabéu,Referee 11,3,3
24,2023-24,2024-03-18,La Liga,31,Away,Girona,2,2,Draw,71,20,8,12,9,10,15,3,0,577,484,84,20,12,14,12,5,55592,Girona Stadium,Referee 36,0,1
25,2023-24,2023-11-14,La Liga,13,Home,Rayo Vallecano,3,2,Win,71,8,5,3,8,12,15,1,0,558,491,88,24,17,15,18,2,80216,Santiago Bernabéu,Referee 12,1,3
26,2023-24,2024-03-23,La Liga,32,Away,Rayo Vallecano,1,0,Win,75,17,5,12,4,16,8,0,0,696,584,84,11,6,13,10,2,71138,Rayo Vallecano Stadium,Referee 16,1,3
27,2023-24,2023-11-19,La Liga,14,Home,Mallorca,2,1,Win,72,16,6,10,11,15,11,1,0,645,561,87,23,15,13,15,3,72766,Santiago Bernabéu,Referee 18,1,3
28,2023-24,2024-03-31,La Liga,33,Away,Mallorca,3,0,Win,62,13,8,5,11,11,9,1,0,506,419,83,20,12,13,17,6,59012,Mallorca Stadium,Referee 26,3,3
29,2023-24,2023-11-26,La Liga,15,Home,Celta Vigo,2,2,Draw,63,20,4,16,8,18,13,3,0,436,366,84,20,12,10,16,7,75721,Santiago Bernabéu,Referee 49,0,1
30,2023-24,2024-04-06,La Liga,34,Away,Celta Vigo,2,1,Win,71,9,5,4,4,16,15,3,0,542,493,91,20,14,8,21,7,52498,Celta Vigo Stadium,Referee 29,1,3
31,2023-24,2023-12-04,La Liga,16,Home,Cadiz,4,0,Win,59,14,8,6,6,18,11,4,0,670,576,86,14,9,14,21,6,71272,Santiago Bernabéu,Referee 21,4,3
32,2023-24,2024-04-16,La Liga,35,Away,Cadiz,2,1,Win,75,17,8,9,5,17,18,4,0,603,554,92,17,12,7,22,7,64015,Cadiz Stadium,Referee 49,1,3
33,2023-24,2023-12-11,La Liga,17,Home,Granada,1,3,Loss,61,13,5,8,2,11,15,3,0,520,426,82,18,12,15,15,3,71423,Santiago Bernabéu,Referee 5,-2,0
34,2023-24,2024-04-21,La Liga,36,Away,Granada,2,3,Loss,49,8,4,4,2,15,9,4,0,489,410,84,12,7,15,17,4,54126,Granada Stadium,Referee 30,-1,0
35,2023-24,2023-12-16,La Liga,18,Home,Almería,3,2,Win,55,13,3,10,6,14,9,2,0,553,503,91,18,11,7,24,5,75643,Santiago Bernabéu,Referee 10,1,3
36,2023-24,2024-04-30,La Liga,37,Away,Almería,0,0,Draw,62,13,6,7,5,18,17,1,0,442,402,91,23,17,8,11,2,46933,Almería Stadium,Referee 4,0,1
37,2023-24,2023-12-26,La Liga,19,Home,Alavés,2,0,Win,59,11,7,4,10,10,8,1,0,577,530,92,19,13,9,10,3,78620,Santiago Bernabéu,Referee 11,2,3
38,2023-24,2024-05-05,La Liga,38,Away,Alavés,4,1,Win,70,16,5,11,4,17,15,2,0,609,505,83,23,13,11,19,2,37811,Alavés Stadium,Referee 39,3,3
39,2023-24,2023-09-19,Champions League,1,Home,Napoli,4,2,Win,75,15,6,9,11,10,12,1,0,530,461,87,15,11,13,15,7,75225,Santiago Bernabéu,Referee 43,2,3
40,2023-24,2023-10-03,Champions League,2,Away,Braga,1,1,Draw,66,17,3,14,6,12,9,4,0,493,419,85,20,13,15,24,5,37427,Braga Stadium,Referee 18,0,1
41,2023-24,2023-10-17,Champions League,3,Home,Union Berlin,1,1,Draw,75,10,7,3,7,13,10,3,0,627,520,83,13,9,13,10,7,70342,Santiago Bernabéu,Referee 45,0,1
42,2023-24,2023-10-31,Champions League,4,Away,RB Leipzig,2,0,Win,63,10,6,4,12,9,17,2,0,511,434,85,17,11,12,9,6,33723,RB Leipzig Stadium,Referee 30,2,3
43,2023-24,2023-11-14,Champions League,5,Home,Manchester City,1,2,Loss,58,19,8,11,12,11,12,3,0,591,520,88,11,8,9,11,5,77248,Santiago Bernabéu,Referee 21,-1,0
44,2023-24,2024-01-04,Copa del Rey,1,Home,Arandina,0,1,Loss,61,16,6,10,12,15,14,1,0,579,509,88,18,11,10,12,3,70478,Santiago Bernabéu,Referee 28,-1,0
45,2023-24,2024-01-25,Copa del Rey,2,Away,Celta Vigo,0,2,Loss,49,13,3,10,3,13,12,1,0,496,451,91,22,14,9,20,8,50772,Celta Vigo Stadium,Referee 34,-2,0
46,2023-24,2024-02-15,Copa del Rey,3,Home,Atlético Madrid,3,2,Win,69,8,4,4,12,10,12,0,0,579,503,87,16,10,10,9,7,76662,Santiago Bernabéu,Referee 14,1,3
