Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
10/20/18,13:00,La Liga,Matchweek 9,Sat,Home,L,1,2,Levante,2.9,2,70,63423,Sergio Ramos,4-3-3,3-1-4-2,Guillermo Cuadra,Match Report,
10/23/18,21:00,Champions Lg,Group stage,Tue,Home,W,2,1,cz Viktoria Plzeň,2.6,1.6,68,67356,Sergio Ramos,4-3-3,4-2-3-1,Orel Grinfeeld,Match Report,
10/28/18,16:15,La Liga,Matchweek 10,Sun,Away,L,1,5,Barcelona,2.1,3,47,93265,Sergio Ramos,4-3-3,4-3-3,José Sánchez,Match Report,
11/3/18,16:15,La Liga,Matchweek 11,Sat,Home,W,2,0,Valladolid,2.2,0.9,58,68050,Sergio Ramos,4-3-3,4-4-2,Jesús Gil,Match Report,
11/7/18,21:00,Champions Lg,Group stage,Wed,Away,W,5,0,cz Viktoria Plzeň,1.6,0.5,62,11483,Sergio Ramos,4-2-3-1,4-1-4-1,Deniz Aytekin,Match Report,
11/11/18,20:45,La Liga,Matchweek 12,Sun,Away,W,4,2,Celta Vigo,2.5,0.9,48,21184,Sergio Ramos,4-3-3,4-4-2,Alberto Undiano,Match Report,
11/24/18,13:00,La Liga,Matchweek 13,Sat,Away,L,0,3,Eibar,1.1,2.8,60,6435,Sergio Ramos,4-3-3,4-4-2,Juan Martínez,Match Report,
11/27/18,21:00,Champions Lg,Group stage,Tue,Away,W,2,0,it Roma,1.7,2.1,59,59124,Sergio Ramos,4-3-3,4-2-3-1,Ruddy Buquet,Match Report,
12/1/18,20:45,La Liga,Matchweek 14,Sat,Home,W,2,0,Valencia,0.8,0.8,60,69653,Sergio Ramos,4-3-3,4-4-2,José González,Match Report,
12/9/18,16:15,La Liga,Matchweek 15,Sun,Away,W,1,0,Huesca,0.4,1.2,55,7341,Sergio Ramos,4-1-4-1,4-2-3-1,Mario Melero,Match Report,
12/12/18,18:55,Champions Lg,Group stage,Wed,Home,L,0,3,ru CSKA Moscow,1.3,0.9,68,51636,Marcelo,4-2-3-1,3-4-3,Hugo Miguel,Match Report,
12/15/18,18:30,La Liga,Matchweek 16,Sat,Home,W,1,0,Rayo Vallecano,1.2,0.7,69,55229,Sergio Ramos,4-3-3,4-1-4-1,Ricardo de Burgos,Match Report,
1/3/19,21:30,La Liga,Matchweek 17,Thu,Away,D,2,2,Villarreal,1.6,1.2,54,19903,Sergio Ramos,4-3-3,4-2-3-1,Pablo González,Match Report,
1/6/19,18:30,La Liga,Matchweek 18,Sun,Home,L,0,2,Real Sociedad,2.6,2.3,59,53412,Sergio Ramos,4-3-3,4-2-3-1,José Luis Munuera,Match Report,
1/13/19,20:45,La Liga,Matchweek 19,Sun,Away,W,2,1,Betis,0.7,0.8,28,54187,Sergio Ramos,3-4-3,4-3-3,Alejandro Hernández,Match Report,
1/19/19,16:15,La Liga,Matchweek 20,Sat,Home,W,2,0,Sevilla,1.5,0.5,69,68232,Sergio Ramos,4-3-3,5-3-2,Antonio Matéu Lahoz,Match Report,
1/27/19,20:45,La Liga,Matchweek 21,Sun,Away,W,4,2,Espanyol,2.1,1.1,63,21215,Sergio Ramos,4-3-3,4-3-3,Jesús Gil,Match Report,
2/3/19,20:45,La Liga,Matchweek 22,Sun,Home,W,3,0,Alavés,2.5,0.6,70,53132,Sergio Ramos,4-3-3,4-5-1,Santiago Jaime,Match Report,
2/9/19,16:15,La Liga,Matchweek 23,Sat,Away,W,3,1,Atlético Madrid,1.6,1.1,65,67752,Sergio Ramos,4-3-3,4-4-2,Javier Estrada,Match Report,
2/13/19,21:00,Champions Lg,Round of 16,Wed,Away,W,2,1,nl Ajax,1.5,2.2,50,52286,Sergio Ramos,4-3-3,4-2-3-1,Szymon Marciniak,Match Report,Leg 1 of 2
2/17/19,12:00,La Liga,Matchweek 24,Sun,Home,L,1,2,Girona,1.8,2.6,57,68099,Sergio Ramos,4-3-3,4-1-4-1,Guillermo Cuadra,Match Report,
2/24/19,20:45,La Liga,Matchweek 25,Sun,Away,W,2,1,Levante,2.7,1.2,60,23018,Karim Benzema,4-3-3,3-5-2,Ignacio Iglesias,Match Report,
3/2/19,20:45,La Liga,Matchweek 26,Sat,Home,L,0,1,Barcelona,0.9,1.1,49,78921,Sergio Ramos,4-3-3,4-3-3,Alberto Undiano,Match Report,
3/5/19,21:00,Champions Lg,Round of 16,Tue,Home,L,1,4,nl Ajax,2.5,2.6,57,77013,Karim Benzema,4-3-3,4-2-3-1,Felix Brych,Match Report,Leg 2 of 2; Ajax won
3/10/19,20:45,La Liga,Matchweek 27,Sun,Away,W,4,1,Valladolid,2.8,2.2,61,21914,Karim Benzema,4-3-3,4-4-1-1,Jesús Gil,Match Report,
3/16/19,16:15,La Liga,Matchweek 28,Sat,Home,W,2,0,Celta Vigo,2.5,0.4,54,65054,Sergio Ramos,4-2-3-1,4-2-3-1,Juan Martínez,Match Report,
3/31/19,20:45,La Liga,Matchweek 29,Sun,Home,W,3,2,Huesca,4.1,1.7,70,49269,Sergio Ramos,4-3-3,5-3-2,Javier Estrada,Match Report,
4/3/19,21:30,La Liga,Matchweek 30,Wed,Away,L,1,2,Valencia,0.8,1.8,67,44274,Sergio Ramos,4-3-3,4-4-2,Santiago Jaime,Match Report,
4/6/19,16:15,La Liga,Matchweek 31,Sat,Home,W,2,1,Eibar,1.6,0.8,56,50284,Karim Benzema,4-3-3,4-1-4-1,Pablo González,Match Report,
4/15/19,21:00,La Liga,Matchweek 32,Mon,Away,D,1,1,Leganés,1.2,0.6,69,12118,Marcelo,4-3-3,5-3-2,David Medié,Match Report,
4/21/19,16:15,La Liga,Matchweek 33,Sun,Home,W,3,0,Athletic Club,1.9,0.5,57,59815,Marcelo,4-3-3,4-2-3-1,Mario Melero,Match Report,
4/25/19,21:30,La Liga,Matchweek 34,Thu,Away,D,0,0,Getafe,1.8,0.6,66,13135,Karim Benzema,4-3-3,4-4-2,Ricardo de Burgos,Match Report,
4/28/19,20:45,La Liga,Matchweek 35,Sun,Away,L,0,1,Rayo Vallecano,0.5,1.8,50,13273,Marcelo,4-2-2-2,4-2-3-1,Pablo González,Match Report,
5/5/19,16:15,La Liga,Matchweek 36,Sun,Home,W,3,2,Villarreal,2.7,0.7,60,46294,Marcelo,4-3-3,4-2-3-1,Jesús Gil,Match Report,
5/12/19,18:30,La Liga,Matchweek 37,Sun,Away,L,1,3,Real Sociedad,0.9,2.1,46,27322,Marcelo,4-3-3,4-2-3-1,Juan Martínez,Match Report,
5/19/19,12:00,La Liga,Matchweek 38,Sun,Home,L,0,2,Betis,0.9,1.3,47,56900,Marcelo,4-3-3,3-1-4-2,Alberto Undiano,Match Report,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
