Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL
8/23/15,La Liga,Sporting Gijon,Dani Carvajal,2,es ESP,DF,23-224,4,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga
8/23/15,La Liga,Sporting Gijon,Keylor Navas,1,cr CRC,GK,28-251,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga
8/29/15,La Liga,Real Betis,Karim Benzema,9,fr FRA,FW,27-253,52,1,0,0,0,2,2,0,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Isco,22,es ESP,"FW,MF",23-130,38,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Cristiano Ronaldo,7,pt POR,AM,30-205,90,0,0,0,0,6,5,0,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,James Rodríguez,10,co COL,AM,24-048,90,2,1,0,0,3,2,0,0,1,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Gareth Bale,11,wls WAL,AM,26-044,90,2,1,0,0,2,2,0,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Toni Kroos,8,de GER,DM,25-237,63,0,1,0,0,2,0,1,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Casemiro,14,br BRA,MF,23-187,27,0,1,0,0,0,0,1,0,1,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Luka Modrić,19,hr CRO,DM,29-354,74,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Mateo Kovačić,16,hr CRO,MF,21-115,16,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Marcelo,12,br BRA,LB,27-109,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Sergio Ramos,4,es ESP,CB,29-152,90,0,0,0,0,3,0,0,0,3,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Raphaël Varane,5,fr FRA,CB,22-126,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Danilo,23,br BRA,RB,24-045,90,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
8/29/15,La Liga,Real Betis,Keylor Navas,1,cr CRC,GK,28-257,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/51ba6d2b/Real-Madrid-Real-Betis-August-29-2015-La-Liga
9/12/15,La Liga,Espanyol,Karim Benzema,9,fr FRA,FW,27-267,62,1,0,0,0,2,2,1,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Lucas Vázquez,17,es ESP,"DF,FW",24-073,28,0,1,0,0,1,1,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Cristiano Ronaldo,7,pt POR,AM,30-219,90,5,1,1,1,7,5,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Isco,22,es ESP,AM,23-144,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Gareth Bale,11,wls WAL,AM,26-058,90,0,1,0,0,1,0,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Luka Modrić,19,hr CRO,DM,30-003,55,0,1,0,0,0,0,0,0,1,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Mateo Kovačić,16,hr CRO,MF,21-129,35,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Casemiro,14,br BRA,DM,23-201,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Marcelo,12,br BRA,LB,27-123,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Sergio Ramos,4,es ESP,CB,29-166,74,0,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Raphaël Varane,5,fr FRA,"DF,MF",22-140,16,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Pepe,3,pt POR,CB,32-198,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Dani Carvajal,2,es ESP,RB,23-244,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/12/15,La Liga,Espanyol,Keylor Navas,1,cr CRC,GK,28-271,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga
9/15/15,Champions League,Shakhtar Donetsk,Karim Benzema,9,fr FRA,FW,27-270,90,1,0,0,0,6,3,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Cristiano Ronaldo,7,pt POR,AM,30-222,90,3,0,2,2,10,3,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Isco,22,es ESP,AM,23-147,90,0,0,0,0,2,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Gareth Bale,11,wls WAL,AM,26-061,32,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Mateo Kovačić,16,hr CRO,MF,21-132,58,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Toni Kroos,8,de GER,DM,25-254,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Luka Modrić,19,hr CRO,DM,30-006,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Marcelo,12,br BRA,LB,27-126,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Sergio Ramos,4,es ESP,CB,29-169,59,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Nacho,6,es ESP,DF,25-240,31,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Raphaël Varane,5,fr FRA,CB,22-143,45,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Pepe,3,pt POR,"DF,MF",32-201,45,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Dani Carvajal,2,es ESP,RB,23-247,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/15/15,Champions League,Shakhtar Donetsk,Keylor Navas,1,cr CRC,GK,28-274,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League
9/19/15,La Liga,Granada,Karim Benzema,9,fr FRA,FW,27-274,76,1,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Denis Cheryshev,21,ru RUS,"FW,MF",24-267,14,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Cristiano Ronaldo,7,pt POR,AM,30-226,90,0,0,0,0,8,5,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Lucas Vázquez,17,es ESP,AM,24-080,90,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Isco,22,es ESP,AM,23-151,84,0,0,0,0,4,1,1,0,1,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Casemiro,14,br BRA,MF,23-208,6,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Toni Kroos,8,de GER,DM,25-258,61,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Mateo Kovačić,16,hr CRO,MF,21-136,29,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Luka Modrić,19,hr CRO,DM,30-010,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Marcelo,12,br BRA,LB,27-130,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Raphaël Varane,5,fr FRA,CB,22-147,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Pepe,3,pt POR,CB,32-205,90,0,0,0,0,1,1,0,0,2,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Dani Carvajal,2,es ESP,RB,23-251,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/19/15,La Liga,Granada,Keylor Navas,1,cr CRC,GK,28-278,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/60f8ff3e/Real-Madrid-Granada-September-19-2015-La-Liga
9/23/15,La Liga,Athletic Club,Karim Benzema,9,fr FRA,FW,27-278,79,2,0,0,0,9,2,0,0,0,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Casemiro,14,br BRA,MF,23-212,11,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Cristiano Ronaldo,7,pt POR,AM,30-230,90,0,0,0,0,4,1,1,0,1,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Isco,22,es ESP,AM,23-155,71,0,1,0,0,1,1,0,0,0,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Jesé,20,es ESP,"FW,MF",22-209,19,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Mateo Kovačić,16,hr CRO,AM,21-140,88,0,0,0,0,2,2,0,0,2,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Lucas Vázquez,17,es ESP,"DF,FW",24-084,2,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Toni Kroos,8,de GER,DM,25-262,90,0,0,0,0,1,0,1,0,3,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Luka Modrić,19,hr CRO,DM,30-014,90,0,0,0,0,1,0,0,0,4,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Marcelo,12,br BRA,LB,27-134,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Raphaël Varane,5,fr FRA,CB,22-151,90,0,0,0,0,2,0,0,0,4,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Pepe,3,pt POR,CB,32-209,90,0,0,0,0,1,0,1,0,6,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Dani Carvajal,2,es ESP,RB,23-255,90,0,0,0,0,1,0,0,0,4,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/23/15,La Liga,Athletic Club,Keylor Navas,1,cr CRC,GK,28-282,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c5ad43ad/Athletic-Club-Real-Madrid-September-23-2015-La-Liga
9/26/15,La Liga,Malaga,Karim Benzema,9,fr FRA,FW,27-281,90,0,0,0,0,4,3,0,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Cristiano Ronaldo,7,pt POR,FW,30-233,90,0,0,0,0,14,2,1,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Jesé,20,es ESP,FW,22-212,59,0,0,0,0,3,2,0,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Mateo Kovačić,16,hr CRO,MF,21-143,31,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Isco,22,es ESP,CM,23-158,90,0,0,0,0,5,1,0,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Toni Kroos,8,de GER,CM,25-265,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Luka Modrić,19,hr CRO,CM,30-017,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Marcelo,12,br BRA,LB,27-137,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Nacho,6,es ESP,CB,25-251,90,0,0,0,0,1,0,1,0,3,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Raphaël Varane,5,fr FRA,CB,22-154,90,0,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Dani Carvajal,2,es ESP,RB,23-258,90,0,0,0,0,0,0,1,0,3,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/26/15,La Liga,Malaga,Keylor Navas,1,cr CRC,GK,28-285,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/930cb651/Real-Madrid-Malaga-September-26-2015-La-Liga
9/30/15,Champions League,Malmo,Karim Benzema,9,fr FRA,FW,27-285,68,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Luka Modrić,19,hr CRO,MF,30-021,22,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Cristiano Ronaldo,7,pt POR,FW,30-237,90,2,0,0,0,12,7,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Isco,22,es ESP,CM,23-162,84,0,1,0,0,1,0,1,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Denis Cheryshev,21,ru RUS,"FW,MF",24-278,6,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Mateo Kovačić,16,hr CRO,FW,21-147,73,0,0,0,0,2,0,1,0,1,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Lucas Vázquez,17,es ESP,"DF,FW",24-091,17,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Toni Kroos,8,de GER,CM,25-269,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Casemiro,14,br BRA,CM,23-219,90,0,0,0,0,1,0,1,0,6,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Álvaro Arbeloa,17,es ESP,LB,32-256,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Nacho,6,es ESP,CB,25-255,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Raphaël Varane,5,fr FRA,CB,22-158,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Dani Carvajal,2,es ESP,RB,23-262,90,0,0,0,0,1,0,0,0,4,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
9/30/15,Champions League,Malmo,Keylor Navas,1,cr CRC,GK,28-289,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/58ef1135/Malmo-Real-Madrid-September-30-2015-Champions-League
10/4/15,La Liga,Atletico Madrid,Karim Benzema,9,fr FRA,FW,27-289,76,1,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Mateo Kovačić,16,hr CRO,MF,21-151,14,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Cristiano Ronaldo,7,pt POR,FW,30-241,90,0,0,0,0,6,1,0,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Isco,22,es ESP,FW,23-166,65,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Gareth Bale,11,wls WAL,"FW,MF",26-080,25,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Luka Modrić,19,hr CRO,CM,30-025,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Casemiro,14,br BRA,CM,23-223,90,0,0,0,0,0,0,1,0,6,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Toni Kroos,8,de GER,CM,25-273,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Marcelo,12,br BRA,LB,27-145,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Sergio Ramos,4,es ESP,CB,29-188,90,0,0,0,0,0,0,1,0,4,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Raphaël Varane,5,fr FRA,CB,22-162,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Dani Carvajal,2,es ESP,RB,23-266,41,0,1,0,0,0,0,0,0,1,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Álvaro Arbeloa,17,es ESP,DF,32-260,49,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/4/15,La Liga,Atletico Madrid,Keylor Navas,1,cr CRC,GK,28-293,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/58656688/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-October-4-2015-La-Liga
10/17/15,La Liga,Levante,Cristiano Ronaldo,7,pt POR,FW,30-254,90,1,1,0,0,6,2,0,0,0,https://fbref.com/en/matches/5d63a849/Real-Madrid-Levante-October-17-2015-La-Liga
