Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2/7/16,20:30,La Liga,Matchweek 23,Sun,Away,W,2,1,Granada,64,17060,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,
2/13/16,16:00,La Liga,Matchweek 24,Sat,Home,W,4,2,Athletic Club,60,77364,Sergio Ramos,4-3-3,4-2-3-1,Alfonso Álvarez,Match Report,
2/17/16,20:45,Champions Lg,Round of 16,Wed,Away,W,2,0,it Roma,60,55612,Sergio Ramos,4-3-3,4-3-3,Pavel Královec,Match Report,Leg 1 of 2
2/21/16,16:00,La Liga,Matchweek 25,Sun,Away,D,1,1,Málaga,62,30372,Sergio Ramos,4-3-3,4-4-2,Ignacio Iglesias,Match Report,
2/27/16,16:00,La Liga,Matchweek 26,Sat,Home,L,0,1,Atlético Madrid,69,79436,Sergio Ramos,4-3-3,4-4-2,Carlos Clos Gómez,Match Report,
3/2/16,21:00,La Liga,Matchweek 27,Wed,Away,W,3,1,Levante,53,19725,Pepe,4-2-3-1,4-4-2,Ricardo de Burgos,Match Report,
3/5/16,16:00,La Liga,Matchweek 28,Sat,Home,W,7,1,Celta Vigo,56,68467,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,
3/8/16,20:45,Champions Lg,Round of 16,Tue,Home,W,2,0,it Roma,56,76654,Sergio Ramos,4-3-3,4-2-3-1,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won
3/13/16,19:30,La Liga,Matchweek 29,Sun,Away,W,2,1,Las Palmas,48,25846,Sergio Ramos,4-3-3,4-1-4-1,David Fernández,Match Report,
3/20/16,20:30,La Liga,Matchweek 30,Sun,Home,W,4,0,Sevilla,63,72976,Marcelo,4-3-3,4-4-1-1,Javier Estrada,Match Report,
4/2/16,20:30,La Liga,Matchweek 31,Sat,Away,W,2,1,Barcelona,32,3665,Sergio Ramos,4-3-3,4-3-3,Alejandro Hernández,Match Report,
4/6/16,20:45,Champions Lg,Quarter-finals,Wed,Away,L,0,2,de Wolfsburg,59,26400,Sergio Ramos,4-3-3,4-2-3-1,Gianluca Rocchi,Match Report,Leg 1 of 2
4/9/16,16:00,La Liga,Matchweek 32,Sat,Home,W,4,0,Eibar,61,70689,Pepe,4-3-3,4-2-3-1,José Sánchez,Match Report,
4/12/16,20:45,Champions Lg,Quarter-finals,Tue,Home,W,3,0,de Wolfsburg,56,76684,Sergio Ramos,4-3-3,4-2-3-1,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won
4/16/16,16:00,La Liga,Matchweek 33,Sat,Away,W,5,1,Getafe,63,11401,Marcelo,4-3-3,4-4-2,José González,Match Report,
4/20/16,22:00,La Liga,Matchweek 34,Wed,Home,W,3,0,Villarreal,61,62678,Sergio Ramos,4-3-3,4-4-2,Carlos Clos Gómez,Match Report,
4/23/16,16:00,La Liga,Matchweek 35,Sat,Away,W,3,2,Rayo Vallecano,61,13314,Marcelo,4-3-3,4-2-3-1,Alejandro Hernández,Match Report,
4/26/16,19:45,Champions Lg,Semi-finals,Tue,Away,D,0,0,eng Manchester City,52,52221,Sergio Ramos,4-3-3,4-2-3-1,Cüneyt Çakιr,Match Report,Leg 1 of 2
4/30/16,16:00,La Liga,Matchweek 36,Sat,Away,W,1,0,Real Sociedad,55,26426,Sergio Ramos,4-3-3,4-3-3,Alberto Undiano,Match Report,
5/4/16,20:45,Champions Lg,Semi-finals,Wed,Home,W,1,0,eng Manchester City,53,78300,Sergio Ramos,4-3-3,4-2-3-1,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
5/8/16,17:00,La Liga,Matchweek 37,Sun,Home,W,3,2,Valencia,47,72987,Sergio Ramos,4-3-3,4-3-3,David Fernández,Match Report,
5/14/16,17:00,La Liga,Matchweek 38,Sat,Away,W,2,0,La Coruña,60,29017,Sergio Ramos,4-3-3,4-5-1,Antonio Matéu Lahoz,Match Report,
5/28/16,20:45,Champions Lg,Final,Sat,Neutral,D,1 (5),1 (3),es Atlético Madrid,48,71942,Sergio Ramos,4-3-3,4-4-2,Mark Clattenburg,Match Report,Real Madrid won on penalty kicks following extra time
