Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Touches, Tkl, Int, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP, 1/3,PPA,CrsPA,PrgP,Match URL
8/12/23,La Liga,Athletic Club,David Alaba,4,at AUT,CB,31-049,90,0,1,0,0,3,2,1,0,95,1,0,1,0.2,0.2,0.2,4,1,77,87,88.5,3,64,0,0,0,1,1,0,1,0,0,0,,0,1,1,0,0,1,5,0,77,87,88.5,1301,677,43,45,95.6,26,28,92.9,7,13,53.8,1,0.2,0,3,7,1,0,3,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga
8/12/23,La Liga,Athletic Club,Éder Militão,3,br BRA,CB,25-206,49,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,0,0,31,32,96.9,1,24,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,31,32,96.9,612,216,11,11,100,17,17,100,3,3,100,0,0,0,0,2,0,0,1,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga
8/12/23,La Liga,Athletic Club,Antonio Rüdiger,22,de GER,CB,30-162,41,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,17,20,85,0,15,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,17,20,85,306,92,5,5,100,12,12,100,0,3,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga
8/12/23,La Liga,Athletic Club,Dani Carvajal,2,es ESP,RB,31-213,90,0,1,0,0,0,0,0,0,80,5,3,0,0,0,0.1,2,1,56,65,86.2,3,48,2,0,0,5,3,0,5,0,2,2,100,0,0,0,0,3,8,4,0,56,65,86.2,845,166,31,33,93.9,17,21,81,6,7,85.7,1,0.1,0.1,1,2,1,0,3,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga
8/12/23,La Liga,Athletic Club,Andriy Lunin,13,ua UKR,GK,24-182,90,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,38,41,92.7,0,24,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38,41,92.7,855,494,9,9,100,21,22,95.5,8,10,80,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga
8/19/23,La Liga,Almeria,Vinicius Júnior,7,br BRA,FW,23-038,89,1,0,0,0,4,1,0,0,50,0,0,0,0.2,0.2,0,4,0,24,35,68.6,4,38,4,8,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,35,68.6,379,62,12,14,85.7,4,8,50,3,4,75,0,0,0.2,0,2,1,0,4,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Brahim Díaz,21,ma MAR,FW,24-016,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,8,9,88.9,2,6,1,3,2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,8,9,88.9,81,21,5,6,83.3,2,2,100,0,0,,0,0,0,0,1,0,0,2,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Rodrygo,11,br BRA,FW,22-222,71,0,0,0,0,3,1,0,0,37,0,0,0,0.3,0.3,0.1,3,0,25,27,92.6,3,30,5,5,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,27,92.6,305,32,16,16,100,8,9,88.9,0,0,,0,0.1,0.1,2,1,1,0,3,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Luka Modrić,10,hr CRO,CM,37-344,19,0,0,0,0,2,0,0,0,32,0,3,0,0.1,0.1,0.5,3,0,22,26,84.6,3,20,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,22,26,84.6,326,128,10,12,83.3,9,9,100,1,3,33.3,0,0.5,0.1,2,2,1,0,3,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Jude Bellingham,5,eng ENG,"AM,FW",20-051,80,2,1,0,0,6,4,0,0,55,0,0,0,0.7,0.7,0.3,3,1,41,45,91.1,4,30,1,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,41,45,91.1,469,101,35,37,94.6,4,5,80,1,1,100,1,0.3,0.2,3,3,2,0,4,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Joselu,14,es ESP,FW,33-145,10,0,0,0,0,1,0,0,0,9,0,1,0,0.2,0.2,0,1,0,6,7,85.7,1,4,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,6,7,85.7,82,6,5,6,83.3,0,0,,1,1,100,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Toni Kroos,8,de GER,LM,33-227,71,0,1,0,0,0,0,0,0,74,3,0,1,0,0,0.4,6,1,62,69,89.9,7,43,1,0,0,3,1,1,1,1,2,4,50,2,1,0,1,0,3,1,0,62,69,89.9,1052,423,30,33,90.9,27,27,100,4,7,57.1,1,0.4,0.3,4,13,1,1,7,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Eduardo Camavinga,12,fr FRA,LM,20-282,19,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,10,11,90.9,1,8,1,0,0,2,0,1,1,0,1,2,50,1,0,0,0,0,2,0,0,10,11,90.9,123,25,8,8,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Aurélien Tchouaméni,18,fr FRA,CM,23-204,90,0,0,0,0,2,1,0,0,85,2,3,1,0,0,0,2,1,68,75,90.7,8,62,1,2,2,2,1,1,0,1,0,2,0,2,1,0,1,3,5,1,0,68,75,90.7,1093,353,35,36,97.2,29,33,87.9,4,4,100,0,0,0.1,1,14,1,1,8,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Federico Valverde,15,uy URU,RM,25-028,89,0,0,0,0,4,1,0,0,77,1,0,0,0.2,0.2,0.1,10,2,66,70,94.3,10,59,9,0,0,1,1,0,1,0,1,1,100,0,0,0,0,0,1,1,0,66,70,94.3,928,280,43,44,97.7,16,17,94.1,5,7,71.4,0,0.1,0.2,3,9,3,0,10,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Lucas Vázquez,17,es ESP,RM,32-049,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.1,2,0,5,5,100,1,4,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,5,100,48,8,5,5,100,0,0,,0,0,,0,0.1,0.1,1,0,1,0,1,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Fran Garcia,20,es ESP,LB,24-005,90,0,0,0,0,1,0,0,0,74,0,1,1,0.1,0.1,0.1,4,0,54,62,87.1,3,44,2,1,0,0,0,0,0,0,0,3,0,3,1,0,1,1,1,4,0,54,62,87.1,675,241,40,41,97.6,12,15,80,1,4,25,0,0.1,0.1,2,0,1,1,3,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,David Alaba,4,at AUT,CB,31-056,90,0,0,0,0,1,0,0,0,53,1,1,0,0,0,0,1,0,43,46,93.5,4,34,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,1,2,4,0,43,46,93.5,636,332,24,24,100,15,16,93.8,3,5,60,0,0,0,0,3,1,0,4,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Antonio Rüdiger,22,de GER,CB,30-169,90,0,0,0,0,0,0,0,0,57,2,1,4,0,0,0,1,0,40,46,87,0,32,1,0,0,2,1,2,0,0,2,2,100,0,4,4,0,1,3,3,0,40,46,87,663,189,17,18,94.4,21,23,91.3,1,2,50,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Dani Carvajal,2,es ESP,RB,31-220,90,0,0,0,0,1,1,0,0,74,2,0,0,0.2,0.2,0.3,6,0,49,63,77.8,4,43,3,1,0,2,2,0,1,1,1,1,100,0,0,0,0,0,2,5,0,49,63,77.8,703,193,34,38,89.5,12,17,70.6,3,4,75,0,0.3,0.1,4,1,2,1,4,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/19/23,La Liga,Almeria,Andriy Lunin,13,ua UKR,GK,24-189,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,25,26,96.2,0,20,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,26,96.2,532,380,7,7,100,13,13,100,5,6,83.3,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Vinicius Júnior,7,br BRA,FW,23-044,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,50,0,4,2,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,4,50,64,0,0,1,0,0,0,,2,2,100,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Joselu,14,es ESP,FW,33-151,73,0,1,0,0,0,0,0,0,21,0,0,1,0,0,0.2,1,1,7,15,46.7,0,17,0,1,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,7,15,46.7,54,14,5,7,71.4,0,3,0,0,0,,1,0.2,0.3,1,0,0,0,0,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Rodrygo,11,br BRA,FW,22-228,90,0,0,0,1,2,0,0,0,54,0,1,1,0.9,0.1,0,7,0,31,38,81.6,0,45,5,11,8,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,31,38,81.6,384,55,26,30,86.7,1,1,100,2,4,50,0,0,0.1,1,1,0,0,0,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Jude Bellingham,5,eng ENG,AM,20-057,90,1,0,0,0,1,1,0,0,50,0,0,2,0.2,0.2,0.1,1,0,36,41,87.8,5,41,3,2,1,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,36,41,87.8,458,76,26,28,92.9,10,12,83.3,0,0,,0,0.1,0.2,2,6,0,0,5,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Eduardo Camavinga,12,fr FRA,LM,20-288,61,0,0,0,0,0,0,0,0,62,1,0,2,0,0,0,0,0,53,57,93,3,54,2,3,2,1,1,1,0,0,0,1,0,1,2,0,2,0,1,0,0,53,57,93,772,179,28,30,93.3,21,21,100,2,3,66.7,0,0,0.2,0,5,0,0,3,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Toni Kroos,8,de GER,LM,33-233,29,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,1,1,29,32,90.6,4,24,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,29,32,90.6,497,204,14,14,100,12,14,85.7,3,4,75,0,0,0.2,0,3,1,1,4,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Federico Valverde,15,uy URU,RM,25-034,90,0,0,0,0,4,1,0,0,101,2,4,0,0.2,0.2,0.1,2,0,77,86,89.5,9,75,5,0,0,2,2,0,1,1,2,2,100,0,0,0,0,4,6,2,0,77,86,89.5,1011,303,54,54,100,18,20,90,2,9,22.2,0,0.1,0.1,2,9,2,0,9,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Aurélien Tchouaméni,18,fr FRA,DM,23-210,61,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,3,0,63,66,95.5,4,56,2,1,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,63,66,95.5,988,208,35,35,100,24,25,96,4,6,66.7,0,0,0.1,0,7,1,0,4,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Luka Modrić,10,hr CRO,DM,37-350,29,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,19,22,86.4,1,16,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,19,22,86.4,251,59,15,17,88.2,3,4,75,1,1,100,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Fran Garcia,20,es ESP,LB,24-011,79,0,0,0,0,1,0,0,0,53,0,0,1,0,0,0,1,0,41,47,87.2,1,43,3,3,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,41,47,87.2,470,151,32,35,91.4,5,5,100,2,4,50,0,0,0,0,2,0,0,1,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Nacho,6,es ESP,LB,33-219,11,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,5,5,100,0,5,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,5,5,100,58,23,5,5,100,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,David Alaba,4,at AUT,CB,31-062,90,0,0,0,0,0,0,0,0,94,0,1,1,0,0,0,0,0,79,86,91.9,8,70,3,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,79,86,91.9,1352,426,32,32,100,38,42,90.5,5,7,71.4,0,0,0,0,9,0,0,8,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Antonio Rüdiger,22,de GER,CB,30-175,90,0,0,0,0,0,0,1,0,77,0,0,1,0,0,0,0,0,61,70,87.1,3,57,1,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,61,70,87.1,1103,418,24,26,92.3,34,37,91.9,3,6,50,0,0,0,0,4,0,0,3,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Dani Carvajal,2,es ESP,RB,31-226,90,0,0,0,0,1,0,0,0,87,4,1,1,0,0,0.1,1,0,60,71,84.5,4,55,0,2,1,4,2,3,0,1,4,5,80,1,1,0,1,1,5,2,0,60,71,84.5,842,221,33,35,94.3,23,26,88.5,2,6,33.3,0,0.1,0,1,4,0,0,4,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
8/25/23,La Liga,Celta Vigo,Kepa Arrizabalaga,25,es ESP,GK,28-326,90,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,26,32,81.3,0,28,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,32,81.3,683,438,3,3,100,16,16,100,7,13,53.8,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f414405a/Celta-Vigo-Real-Madrid-August-25-2023-La-Liga
9/2/23,La Liga,Getafe,Rodrygo,11,br BRA,FW,22-236,90,0,0,0,0,9,1,0,0,72,1,0,0,0.4,0.4,0,2,0,45,51,88.2,4,61,12,4,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,45,51,88.2,564,81,38,41,92.7,5,7,71.4,2,2,100,0,0,0.1,0,4,1,0,4,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Joselu,14,es ESP,FW,33-159,90,1,0,0,0,5,3,0,0,31,0,0,0,1.2,1.2,0.1,1,0,22,26,84.6,2,20,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,26,84.6,315,46,11,14,78.6,9,9,100,1,1,100,0,0.1,0.1,1,2,0,0,2,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Jude Bellingham,5,eng ENG,AM,20-065,90,1,0,0,0,1,1,0,0,68,0,0,1,0.7,0.7,0.1,5,0,49,57,86,10,52,3,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,49,57,86,699,172,30,31,96.8,16,18,88.9,2,3,66.7,0,0.1,0.2,3,1,7,1,10,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Eduardo Camavinga,12,fr FRA,LM,20-296,45,0,0,0,0,1,1,0,0,50,1,0,1,0,0,0.1,4,0,40,45,88.9,6,33,3,1,1,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,40,45,88.9,638,230,18,19,94.7,15,18,83.3,4,5,80,0,0.1,0.1,3,6,1,1,6,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Toni Kroos,8,de GER,LM,33-241,45,0,0,0,0,3,2,1,0,85,1,0,1,0.2,0.2,0.3,9,0,72,80,90,11,57,1,0,0,1,0,1,0,0,1,1,100,0,1,0,1,0,1,0,0,72,80,90,1390,550,34,35,97.1,28,30,93.3,10,14,71.4,0,0.3,0.2,7,7,3,0,11,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Aurélien Tchouaméni,18,fr FRA,CM,23-218,79,0,0,0,0,1,0,0,0,81,3,0,0,0,0,0,4,1,63,74,85.1,6,60,0,0,0,3,3,2,1,0,1,1,100,0,0,0,0,0,3,3,0,63,74,85.1,1011,330,31,37,83.8,27,31,87.1,5,5,100,0,0,0,0,9,1,0,6,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Federico Valverde,15,uy URU,CM,25-042,11,0,0,0,0,1,1,0,0,17,1,0,0,0.1,0.1,0.1,3,0,11,14,78.6,2,10,1,0,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0,11,14,78.6,162,51,7,7,100,0,2,0,3,4,75,0,0.1,0,2,3,1,0,2,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Luka Modrić,10,hr CRO,RM,37-358,76,0,0,0,0,2,2,0,0,84,0,0,1,0,0,0.1,7,0,69,79,87.3,13,65,0,2,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,69,79,87.3,1132,353,43,46,93.5,19,21,90.5,6,10,60,0,0.1,0.2,2,7,2,0,13,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Brahim Díaz,21,ma MAR,RM,24-030,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.1,1,0,8,8,100,2,7,0,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,8,100,112,40,4,4,100,3,3,100,0,0,,0,0.1,0.3,1,0,2,0,2,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Fran Garcia,20,es ESP,LB,24-019,45,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0.6,3,0,32,36,88.9,2,30,1,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,1,32,36,88.9,456,109,19,20,95,11,12,91.7,2,2,100,0,0.6,0.4,2,1,1,1,2,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,Nacho,6,es ESP,CB,33-227,45,0,0,0,0,0,0,0,0,52,0,1,1,0,0,0,0,0,42,48,87.5,5,37,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,42,48,87.5,675,301,20,23,87,21,23,91.3,1,2,50,0,0,0,0,2,0,0,5,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
9/2/23,La Liga,Getafe,David Alaba,4,at AUT,"LB,CB",31-070,90,0,0,0,0,0,0,0,0,65,1,3,1,0,0,0.1,2,0,46,56,82.1,6,48,1,0,0,1,1,0,1,0,0,0,,0,1,0,1,3,4,1,0,46,56,82.1,747,296,27,28,96.4,15,21,71.4,3,5,60,0,0.1,0.2,1,6,1,0,6,https://fbref.com/en/matches/2b3c0a99/Real-Madrid-Getafe-September-2-2023-La-Liga
